ncf,ncg,uid,oc,freq
0.1887935,0.2314989,0.2056798,0.2007734,31.75
0.1851177,0.2285496,0.2030261,0.1988089,32
0.1816659,0.2259264,0.2004937,0.1971404,32.25
0.1785345,0.2234805,0.1981037,0.1954211,32.5
0.1758295,0.2209909,0.1959868,0.1933981,32.75
0.1735833,0.2181675,0.1941864,0.1910961,33
0.1717438,0.2147831,0.1926017,0.188698,33.25
0.1702309,0.2108695,0.1911142,0.1862857,33.5
0.1689472,0.2068,0.1896641,0.1838105,33.75
0.1677039,0.2031003,0.1881225,0.1813312,34
0.1662084,0.2000791,0.1862039,0.1791656,34.25
0.1642372,0.1976142,0.1837275,0.1776745,34.5
0.1618791,0.1953015,0.1809898,0.1768413,34.75
0.1595794,0.1927992,0.1786641,0.1761086,35
0.1578707,0.1900383,0.1771821,0.1747296,35.25
0.1569713,0.1871953,0.1762938,0.1723751,35.5
0.1565747,0.1845647,0.1753389,0.1694223,35.75
0.1560232,0.1824431,0.1738829,0.1666224,36
0.1547765,0.1810168,0.1720082,0.1644641,36.25
0.1528336,0.1802575,0.1700911,0.1628616,36.5
0.1507525,0.1799151,0.1684435,0.1614165,36.75
0.149217,0.1796574,0.1671378,0.1598833,37
0.1485092,0.1792572,0.1660242,0.1583364,37.25
0.148332,0.1786597,0.1648765,0.1569731,37.5
0.1480942,0.1778732,0.163618,0.155898,37.75
0.1473711,0.1768238,0.1624586,0.1551333,38
0.1461772,0.1753786,0.1617588,0.1547385,38.25
0.1449013,0.1735597,0.1616843,0.1547971,38.5
0.1439974,0.1717007,0.1619556,0.1552522,38.75
0.1436585,0.1703025,0.1619394,0.1558081,39
0.1437094,0.1696742,0.1610522,0.1560774,39.25
0.1437996,0.1696994,0.1592076,0.1558791,39.5
0.1437064,0.1699183,0.1569553,0.155392,39.75
0.1434578,0.1697977,0.155139,0.1549871,40
0.1432051,0.1689832,0.1543069,0.1549066,40.25
0.1430461,0.1674589,0.1543801,0.155132,40.5
0.1429754,0.1655848,0.1548396,0.1555447,40.75
0.1429023,0.1639279,0.1551618,0.1561192,41
0.1426272,0.1629163,0.1550736,0.1568795,41.25
0.141848,0.1625721,0.154531,0.1577106,41.5
0.1403357,0.1625593,0.1536271,0.1583095,41.75
0.1381976,0.1624785,0.1525428,0.1583423,42
0.1359561,0.1621275,0.1514757,0.1576011,42.25
0.134304,0.1615596,0.1505383,0.1560438,42.5
0.1337038,0.1609781,0.1497399,0.1538245,42.75
0.1341301,0.1605813,0.1490814,0.1513616,43
0.1351123,0.1604524,0.1486317,0.1492555,43.25
0.1360037,0.1605409,0.1484736,0.1479305,43.5
0.1362364,0.1606478,0.14853,0.1472316,43.75
0.1353155,0.160224,0.1483083,0.1462974,44
0.1325094,0.1579828,0.1466163,0.1437086,44.25
0.1265607,0.1517745,0.1414927,0.1377055,44.5
0.1159239,0.1392753,0.130738,0.1265457,44.75
0.09969717,0.1194167,0.1131205,0.1092745,45
